Group,TDOA_21,TDOA_31,TDOA_41,Actual_X,Actual_Y,Actual_Z,PSO_X,PSO_Y,PSO_Z,PSO_Percentage_Error,PSO_Euclidean_Error,cluster (PSO -> DBSCAN),cluster,cluster (DBSCAN -> PSO)
1,3.769e-06,0.000372411,0.0002903426,-1000.0,-1000.0,-1000.0,1.0,2.99,1.4,99.89,1735.164,0,-1,-1
2,0.0003187436,-3.755999999999998e-06,9.8684e-05,-1000.0,-1000.0,-1000.0,1.0,2.98,1.4,99.89,1735.156,0,-1,-1
3,2.200000000001436e-09,6.600000000000919e-09,1.1400000000001718e-08,6.1,1.7,3.5,6.15,1.76,3.09,6.05,0.419,-1,-1,-1
4,0.00035334799999999997,0.00032112080000000004,0.00032112380000000004,-1000.0,-1000.0,-1000.0,1.0,3.0,1.4,99.89,1735.167,0,-1,-1
5,0.000341498,7.18184e-05,0.00034265500000000003,-1000.0,-1000.0,-1000.0,1.0,2.99,1.4,99.89,1735.164,0,-1,-1
6,8.36192e-05,0.0002298086,0.00022981339999999996,-1000.0,-1000.0,-1000.0,1.0,2.99,1.4,99.89,1735.162,0,-1,-1
7,-6.850999999999999e-05,6.39068e-05,6.39114e-05,-1000.0,-1000.0,-1000.0,1.0,0.5,1.54,99.82,1733.808,1,-1,-1
8,0.0001876188,0.0001950796,-9.86602e-05,-1000.0,-1000.0,-1000.0,1.0,2.99,1.4,99.89,1735.165,0,-1,-1
9,2.0000000001399107e-10,6.572540000000001e-05,5.199999999998288e-09,-1000.0,-1000.0,-1000.0,1.0,0.5,1.4,99.81,1733.725,1,-1,-1
10,2.0000000000043854e-09,0.0002099868,5.387580000000001e-05,-1000.0,-1000.0,-1000.0,1.0,2.98,1.4,99.89,1735.16,0,-1,-1
11,2e-10,2.4000000000052625e-09,5.400000000012279e-09,9.2,3.5,2.8,9.09,3.45,3.12,3.99,0.348,-1,-1,-1
12,-3.6386800000000016e-05,-0.000135323,0.00013466759999999998,-1000.0,-1000.0,-1000.0,1.0,7.0,1.4,100.03,1737.484,2,-1,-1
13,0.000137983,6.599999999987805e-09,1.119999999998434e-08,6.1,1.7,3.5,1.0,1.7,1.14,81.02,5.619,0,-1,-1
14,2.07766e-05,2.07758e-05,2.0774599999999996e-05,2.9,6.3,5.4,1.0,2.99,1.4,117.69,5.526,0,-1,-1
15,0.00015268860000000001,-0.00019028859999999998,-0.00019028779999999998,-1000.0,-1000.0,-1000.0,1.0,11.0,1.71,100.17,1739.987,3,-1,-1
16,4.000000000061396e-10,-0.00019977279999999997,-9.16524e-05,-1000.0,-1000.0,-1000.0,1.0,11.0,1.71,100.17,1739.984,3,-1,-1
17,0.00010491060000000001,0.00010491520000000001,0.0001049198,-1000.0,-1000.0,-1000.0,1.0,3.0,1.4,99.89,1735.166,0,-1,-1
18,4.200000000008771e-09,3.400000000007017e-09,2.2000000000314906e-09,2.9,6.3,5.4,11.0,3.57,0.1,214.21,10.059,4,0,0
19,1.9999999999772804e-09,6.599999999987805e-09,6.864339999999999e-05,-1000.0,-1000.0,-1000.0,1.0,2.38,1.36,99.87,1734.786,0,-1,-1
20,2.2000000000454815e-09,-0.00021679999999999998,-0.0002168014,-1000.0,-1000.0,-1000.0,1.0,11.0,1.8,100.17,1740.036,3,-1,-1
21,-0.0001303308,-0.0002347872,-0.00023478840000000002,-1000.0,-1000.0,-1000.0,1.0,11.0,1.85,100.18,1740.067,3,-1,-1
22,-0.00022945980000000006,-7.5848000000000294e-06,1.5199999999958112e-08,-1000.0,-1000.0,-1000.0,1.0,11.0,2.86,100.21,1740.649,3,-1,-1
23,1.9877600000000018e-05,3.731380000000002e-05,-9.173439999999999e-05,-1000.0,-1000.0,-1000.0,1.0,9.01,1.8,100.11,1738.879,5,-1,-1
24,2e-10,4.5964200000000016e-05,-0.0003071448,-1000.0,-1000.0,-1000.0,1.0,9.0,1.8,100.11,1738.877,5,-1,-1
25,-0.0002869192,-0.0001559192,1.752639999999997e-05,-1000.0,-1000.0,-1000.0,1.0,7.0,1.4,100.03,1737.485,2,-1,-1
26,-0.00010490440000000001,-0.00010490519999999996,-0.00010490639999999999,-1000.0,-1000.0,-1000.0,1.0,11.0,1.89,100.18,1740.09,3,-1,-1
27,-0.0003429732,-0.00022072700000000002,-0.0001810782,-1000.0,-1000.0,-1000.0,1.0,11.0,1.94,100.18,1740.116,3,-1,-1
28,-0.00019145059999999998,2.3999999999912716e-09,5.199999999984297e-09,-1000.0,-1000.0,-1000.0,1.0,5.22,1.84,99.98,1736.711,-1,-1,-1
29,-0.0003414926,1.1431999999999978e-06,-0.00037238779999999996,-1000.0,-1000.0,-1000.0,1.0,11.0,2.03,100.18,1740.17,3,-1,-1
30,4.200000000022762e-09,3.4000000000210077e-09,2.2000000000454815e-09,2.9,6.3,5.4,11.0,3.57,0.1,214.21,10.059,4,0,0
31,3.99999999999478e-09,-0.00015332439999999999,-1.1609799999999997e-05,-1000.0,-1000.0,-1000.0,1.0,11.0,1.5,100.16,1739.862,3,-1,-1
