Group,TDOA_21,TDOA_31,TDOA_41,Actual_X,Actual_Y,Actual_Z,PSO_X,PSO_Y,PSO_Z,PSO_Percentage_Error,PSO_Euclidean_Error,cluster (PSO -> DBSCAN),cluster (DBSCAN -> PSO)
1,3.7999999999994236e-09,1.060000000000128e-08,1.659999999999969e-08,1.2,2.3,3.1,1.0,2.32,3.09,5.04,0.201,0,0
2,4.600000000000559e-09,5.40000000000012e-09,6.199999999999802e-09,4.5,7.8,6.2,11.0,1.47,0.1,174.65,10.93,1,1
3,2.200000000001436e-09,6.600000000000919e-09,1.1400000000001718e-08,6.1,1.7,3.5,6.15,1.76,3.09,6.05,0.419,2,2
4,4.599999999999922e-09,5.600000000001676e-09,6.4000000000000424e-09,4.5,7.8,6.2,11.0,1.33,0.1,175.95,11.012,1,1
5,3.800000000001118e-09,1.0600000000003352e-08,1.659999999999969e-08,1.2,2.3,3.1,1.0,2.32,3.09,5.04,0.201,0,0
6,4.200000000004385e-09,3.4000000000017965e-09,2.199999999997892e-09,7.8,1.2,4.9,11.0,3.57,0.1,69.64,6.235,3,3
7,4.1999999999952185e-09,3.6000000000074554e-09,2.2000000000043856e-09,2.9,6.3,5.4,11.0,3.52,0.1,214.5,10.073,3,3
8,3.799999999995657e-09,1.0399999999997891e-08,1.659999999999925e-08,1.2,2.3,3.1,1.76,2.56,2.7,18.55,0.742,0,0
9,2.0000000001399107e-10,2.2000000000183765e-09,5.199999999998288e-09,9.2,3.5,2.8,9.25,3.57,2.5,3.62,0.316,4,4
10,2.0000000000043854e-09,6.600000000000919e-09,1.1200000000011444e-08,6.1,1.7,3.5,5.85,1.65,4.22,11.03,0.765,5,2
11,2e-10,2.4000000000052625e-09,5.400000000012279e-09,9.2,3.5,2.8,9.09,3.45,3.12,3.99,0.348,4,4
12,3.999999999995657e-09,1.0599999999984339e-08,1.6599999999986136e-08,1.2,2.3,3.1,1.52,1.9,3.36,14.4,0.576,0,0
13,2.0000000000043854e-09,6.599999999987805e-09,1.119999999998434e-08,6.1,1.7,3.5,5.85,1.65,4.22,11.03,0.765,5,2
14,4.000000000008771e-09,3.400000000007017e-09,2.0000000000043854e-09,2.9,6.3,5.4,11.0,3.66,0.1,213.66,10.033,3,3
15,4.200000000008771e-09,3.400000000007017e-09,2.2000000000043856e-09,2.9,6.3,5.4,11.0,3.57,0.1,214.21,10.059,3,3
16,4.000000000061396e-10,2.2000000000174993e-09,5.2000000000201305e-09,9.2,3.5,2.8,9.98,3.46,1.57,16.66,1.455,-1,4
17,4.200000000008771e-09,3.400000000061227e-09,2.2000000000314906e-09,2.9,6.3,5.4,11.0,3.57,0.1,214.21,10.059,3,3
18,4.200000000008771e-09,3.400000000007017e-09,2.2000000000314906e-09,2.9,6.3,5.4,11.0,3.57,0.1,214.21,10.059,3,3
19,1.9999999999772804e-09,6.599999999987805e-09,1.119999999998434e-08,6.1,1.7,3.5,5.85,1.65,4.22,11.03,0.765,5,2
20,2.2000000000454815e-09,6.6000000000280244e-09,1.139999999999833e-08,6.1,1.7,3.5,6.15,1.76,3.09,6.05,0.419,2,2
21,1.9999999999912713e-09,6.600000000001796e-09,1.119999999998434e-08,6.1,1.7,3.5,5.85,1.65,4.22,11.03,0.765,5,2
22,3.3999999999772805e-09,9.399999999973815e-09,1.5199999999958112e-08,6.1,1.7,3.5,3.12,1.94,3.12,43.4,3.01,-1,-1
23,3.800000000005263e-09,1.060000000001232e-08,1.660000000002289e-08,1.2,2.3,3.1,1.0,2.32,3.09,5.04,0.201,0,0
24,2e-10,2.2000000000454815e-09,5.200000000038507e-09,9.2,3.5,2.8,9.25,3.57,2.5,3.62,0.316,4,4
25,4.599999999996534e-09,5.399999999984297e-09,6.199999999986051e-09,4.5,7.8,6.2,11.0,1.47,0.1,174.65,10.93,1,1
26,1.9999999999912713e-09,6.599999999987805e-09,1.119999999998434e-08,6.1,1.7,3.5,5.85,1.65,4.22,11.03,0.765,5,2
27,4.200000000008771e-09,3.400000000007017e-09,2.1999999999772805e-09,2.9,6.3,5.4,11.0,3.57,0.1,214.21,10.059,3,3
28,2e-10,2.3999999999912716e-09,5.199999999984297e-09,9.2,3.5,2.8,9.74,3.31,3.69,12.14,1.06,4,4
29,4.400000000003509e-09,5.400000000008856e-09,6.399999999991398e-09,7.8,1.2,4.9,11.4,1.36,0.32,65.05,5.825,1,1
30,4.200000000022762e-09,3.4000000000210077e-09,2.2000000000454815e-09,2.9,6.3,5.4,11.0,3.57,0.1,214.21,10.059,3,3
31,3.99999999999478e-09,1.0600000000024558e-08,-0.00020516979999999997,-1000.0,-1000.0,-1000.0,1.0,10.06,1.87,100.14,1739.533,-1,-1
