input filename,count,PD number,start idx,end idx,Grouping_Envelope_Analysis,Energy_A5,Energy_D5,Energy_D4,Energy_D3,Energy_D2,Energy_D1,PC1,PC2,PC3,Simple PCA Feature Cluster ID
Ch1.csv,1,1.0,48164,54464,1,0.9986002779150696,4.892069310582569e-05,0.000100770384153,0.0001808462620888,0.0003440262960621,0.0007251584495205,0.0016242489117928,-0.0004938782797329,1.2126101960857616e-05,1
Ch1.csv,2,3.0,67948,74248,2,0.9972585393330964,9.20338678063662e-05,0.0001777787303226,0.0003600059848463,0.0007308187180895,0.0013808233658387,7.648288318340413e-05,-0.0006403423014326,1.1596479144782013e-05,2
Ch1.csv,3,4.0,85700,92000,3,0.99874909081185,0.0008791302172305,0.000130819161371,4.6046594386978885e-05,6.27907797838516e-05,0.0001321224353777,0.0019698295223745,0.0005266095939404,8.0206428836882e-06,3
Ch1.csv,4,3.0,132939,139239,4,0.9931666373821358,0.0011426150832078,0.000539672055821,0.0007910293688538,0.0014433547940053,0.0029166913159759,-0.0044609364755345,2.041085454121405e-05,5.23105207184682e-05,4
Ch1.csv,5,1.0,202570,208870,5,0.9979486581848976,5.700437027336109e-05,0.0001687698122877,0.0002520660998387,0.0005236941807447,0.0010498073519575,0.0008728200138472,-0.0005735539620191,3.628563350507874e-05,5
Ch1.csv,6,5.0,325578,331878,6,0.9981950597907688,0.0002011425341829,0.0001287267165069,0.0002149875779498,0.0004331482862622,0.000826935094329,0.0011873548549049,-0.000369262685065,1.2405551539695914e-05,6
Ch1.csv,7,2.0,390741,397041,7,0.9981626259496732,0.0003634119609834,0.0001401891050243,0.0002028795369227,0.0003941002987973,0.0007367931485989,0.0011854910466622,-0.0001763741625567,1.6871014710290178e-05,7
Ch1.csv,8,1.0,561702,568002,8,0.9992388261179632,4.396996028010156e-05,6.819879653095479e-05,9.737987228584806e-05,0.0001859341493281,0.0003656911036117,0.0023724027558658,-0.0003959605333886,2.819330028788758e-05,8
Ch1.csv,9,6.0,613786,620086,9,0.9952791716665604,0.0003960718912786,0.0003022577267467,0.0006089717605114,0.0011368019124054,0.0022767250424973,-0.0021704796452406,-0.0005817461056508,-1.0059655712602034e-05,9
Ch1.csv,10,4.0,710280,716580,10,0.998885272323901,0.0005160450586906,0.0001020322574918,7.719938273276341e-05,0.0001372078710584,0.0002822431061254,0.0020529467428797,0.0001102747163614,7.94763908049112e-06,10
Ch1.csv,11,6.0,717461,723761,11,0.9944964992723568,0.0001956993689414,0.0003686386046878,0.0007474428795446,0.0014067597180362,0.0027849601564331,-0.0031126607733767,-0.0009259145832197,2.543859777653923e-05,11
Ch1.csv,12,1.0,743686,749986,12,0.9986736373455,4.212617119873226e-05,7.425524101958455e-05,0.000164268925403,0.0003541325388589,0.0006915797780196,0.0017042266343326,-0.0004982762873523,-1.0016597774664682e-05,12
Ch1.csv,13,4.0,848130,854430,13,0.9995340866439306,0.000106281132851,4.207794699052063e-05,4.576705981847409e-05,9.505108736802791e-05,0.0001767361290412,0.0027259715248496,-0.0002812079884589,1.581572353989702e-05,13
