99.89,1735.164,2.2,1,2.99,1.4,"-1000.00, -1000.00, -1000.00"
99.89,1735.156,1.8,1,2.98,1.4,"-1000.00, -1000.00, -1000.00"
6.05,0.419,0.39,6.15,1.76,3.09,"6.10, 1.70, 3.50"
99.89,1735.167,1.66,1,3,1.4,"-1000.00, -1000.00, -1000.00"
99.89,1735.164,1.16,1,2.99,1.4,"-1000.00, -1000.00, -1000.00"
99.89,1735.162,1.76,1,2.99,1.4,"-1000.00, -1000.00, -1000.00"
99.82,1733.808,1.13,1,0.5,1.54,"-1000.00, -1000.00, -1000.00"
99.89,1735.165,1.55,1,2.99,1.4,"-1000.00, -1000.00, -1000.00"
99.81,1733.725,0.68,1,0.5,1.4,"-1000.00, -1000.00, -1000.00"
99.89,1735.16,1.97,1,2.98,1.4,"-1000.00, -1000.00, -1000.00"
3.99,0.348,0.35,9.09,3.45,3.12,"9.20, 3.50, 2.80"
100.03,1737.484,2.66,1,7,1.4,"-1000.00, -1000.00, -1000.00"
81.02,5.619,0.59,1,1.7,1.14,"6.10, 1.70, 3.50"
117.69,5.526,0.88,1,2.99,1.4,"2.90, 6.30, 5.40"
100.17,1739.987,0.98,1,11,1.71,"-1000.00, -1000.00, -1000.00"
100.17,1739.984,0.69,1,11,1.71,"-1000.00, -1000.00, -1000.00"
99.89,1735.166,2.16,1,3,1.4,"-1000.00, -1000.00, -1000.00"
214.21,10.059,0.33,11,3.57,0.1,"2.90, 6.30, 5.40"
99.87,1734.786,0.45,1,2.38,1.36,"-1000.00, -1000.00, -1000.00"
100.17,1740.036,0.41,1,11,1.8,"-1000.00, -1000.00, -1000.00"
100.18,1740.067,0.9,1,11,1.85,"-1000.00, -1000.00, -1000.00"
100.21,1740.649,0.87,1,11,2.86,"-1000.00, -1000.00, -1000.00"
100.11,1738.879,2.25,1,9.01,1.8,"-1000.00, -1000.00, -1000.00"
100.11,1738.877,1.54,1,9,1.8,"-1000.00, -1000.00, -1000.00"
100.03,1737.485,1.77,1,7,1.4,"-1000.00, -1000.00, -1000.00"
100.18,1740.09,0.79,1,11,1.89,"-1000.00, -1000.00, -1000.00"
100.18,1740.116,0.78,1,11,1.94,"-1000.00, -1000.00, -1000.00"
99.98,1736.711,1.2,1,5.22,1.84,"-1000.00, -1000.00, -1000.00"
100.18,1740.17,1.15,1,11,2.03,"-1000.00, -1000.00, -1000.00"
214.21,10.059,0.34,11,3.57,0.1,"2.90, 6.30, 5.40"
100.16,1739.862,0.5,1,11,1.5,"-1000.00, -1000.00, -1000.00"
