frequency (Hz),MPD 600 1.1 (dBm)
0,-120.833
31250,-124.399
62500,-124.596
93750,-115.15
125000,-107.784
156250,-105.537
187500,-103.594
218750,-97.3434
250000,-94.7512
281250,-100.466
312500,-101.831
343750,-99.002
375000,-100.54
406250,-105.056
437500,-102.726
468750,-99.0273
500000,-102.68
531250,-109.289
562500,-96.8207
593750,-90.0477
625000,-88.7567
656250,-90.7917
687500,-92.8532
718750,-95.1403
750000,-98.25
781250,-102.205
812500,-108.308
843750,-122.69
875000,-111.908
906250,-106.673
937500,-108.159
968750,-116.473
1e+06,-113.986
1.03125e+06,-106.783
1.0625e+06,-106.272
1.09375e+06,-112.162
1.125e+06,-105.531
1.15625e+06,-103.637
1.1875e+06,-105.835
1.21875e+06,-108.193
1.25e+06,-110.093
1.28125e+06,-115.482
1.3125e+06,-108.948
1.34375e+06,-106.621
1.375e+06,-109.477
1.40625e+06,-114.71
1.4375e+06,-114.116
1.46875e+06,-112.396
1.5e+06,-111.556
1.53125e+06,-110.415
1.5625e+06,-109.586
1.59375e+06,-110.176
1.625e+06,-111.251
1.65625e+06,-109.405
1.6875e+06,-107.75
1.71875e+06,-108.58
1.75e+06,-106.621
1.78125e+06,-103.766
1.8125e+06,-104.181
1.84375e+06,-108.56
1.875e+06,-118.087
1.90625e+06,-114.785
1.9375e+06,-102.484
1.96875e+06,-97.5544
2e+06,-97.4664
2.03125e+06,-100.947
2.0625e+06,-102.092
2.09375e+06,-97.4415
2.125e+06,-97.1042
2.15625e+06,-100.06
2.1875e+06,-92.3184
2.21875e+06,-92.8319
2.25e+06,-92.7265
2.28125e+06,-92.9002
2.3125e+06,-98.7458
2.34375e+06,-93.2336
2.375e+06,-95.8938
2.40625e+06,-102.833
2.4375e+06,-97.8951
2.46875e+06,-93.1273
2.5e+06,-90.6006
2.53125e+06,-91.9797
2.5625e+06,-95.2899
2.59375e+06,-98.0763
2.625e+06,-100.338
2.65625e+06,-103.349
2.6875e+06,-101.504
2.71875e+06,-99.4916
2.75e+06,-99.6012
2.78125e+06,-101.459
2.8125e+06,-105.659
2.84375e+06,-113.237
2.875e+06,-119.526
2.90625e+06,-119.014
2.9375e+06,-106.978
2.96875e+06,-102.373
3e+06,-101.808
3.03125e+06,-104.138
3.0625e+06,-106.506
3.09375e+06,-107.039
3.125e+06,-108.594
3.15625e+06,-110.163
3.1875e+06,-106.532
3.21875e+06,-104.929
3.25e+06,-110.073
3.28125e+06,-112.429
3.3125e+06,-108.729
3.34375e+06,-106.713
3.375e+06,-101.538
3.40625e+06,-98.259
3.4375e+06,-97.2332
3.46875e+06,-98.0354
3.5e+06,-100.495
3.53125e+06,-107.145
3.5625e+06,-107.474
3.59375e+06,-102.627
3.625e+06,-102.021
3.65625e+06,-100.759
3.6875e+06,-97.9012
3.71875e+06,-96.437
3.75e+06,-97.7492
3.78125e+06,-102.074
3.8125e+06,-104.918
3.84375e+06,-100.264
3.875e+06,-99.9437
3.90625e+06,-103.013
3.9375e+06,-104.967
3.96875e+06,-105.304
4e+06,-104.479
4.03125e+06,-105.83
