time (s), MPD 600 1.1 (V)
-1.59531e-05, 3.67374e-05
-1.59375e-05, 2.69632e-05
-1.59219e-05, 1.73576e-05
-1.59063e-05, 8.76304e-06
-1.58906e-05, 2.35928e-06
-1.5875e-05, -1.6852e-06
-1.58594e-05, -3.87596e-06
-1.58437e-05, -4.88708e-06
-1.58281e-05, -5.56116e-06
-1.58125e-05, -6.06672e-06
-1.57969e-05, -6.90932e-06
-1.57813e-05, -7.92044e-06
-1.57656e-05, -8.93156e-06
-1.575e-05, -9.94268e-06
-1.57344e-05, -1.07853e-05
-1.57187e-05, -1.14594e-05
-1.57031e-05, -1.14594e-05
-1.56875e-05, -1.09538e-05
-1.56719e-05, -9.60564e-06
-1.56563e-05, -7.41488e-06
-1.56406e-05, -4.213e-06
-1.5625e-05, 3.3704e-07
-1.56094e-05, 6.40376e-06
-1.55937e-05, 1.38186e-05
-1.55781e-05, 2.22446e-05
-1.55625e-05, 3.05021e-05
-1.55469e-05, 3.72429e-05
-1.55312e-05, 4.07819e-05
-1.55156e-05, 4.04448e-05
-1.55e-05, 3.58948e-05
-1.54844e-05, 2.78058e-05
-1.54687e-05, 1.7189e-05
-1.54531e-05, 5.39264e-06
-1.54375e-05, -6.7408e-06
-1.54219e-05, -1.83687e-05
-1.54062e-05, -2.9154e-05
-1.53906e-05, -3.85911e-05
-1.5375e-05, -4.58375e-05
-1.53594e-05, -5.03875e-05
-1.53438e-05, -5.17357e-05
-1.53281e-05, -4.97134e-05
-1.53125e-05, -4.43208e-05
-1.52969e-05, -3.65689e-05
-1.52812e-05, -2.73003e-05
-1.52656e-05, -1.75261e-05
-1.525e-05, -8.08896e-06
-1.52344e-05, 6.7408e-07
-1.52188e-05, 8.76304e-06
-1.52031e-05, 1.60094e-05
-1.51875e-05, 2.29187e-05
-1.51719e-05, 2.96595e-05
-1.51563e-05, 3.62318e-05
-1.51406e-05, 4.26356e-05
-1.5125e-05, 4.87023e-05
-1.51094e-05, 5.39264e-05
-1.50938e-05, 5.78024e-05
-1.50781e-05, 5.93191e-05
-1.50625e-05, 5.78024e-05
-1.50469e-05, 5.29153e-05
-1.50313e-05, 4.48263e-05
-1.50156e-05, 3.43781e-05
-1.5e-05, 2.24132e-05
-1.49844e-05, 1.04482e-05
-1.49688e-05, -1.17964e-06
-1.49531e-05, -1.19649e-05
-1.49375e-05, -2.15706e-05
-1.49219e-05, -2.98281e-05
-1.49063e-05, -3.65689e-05
-1.48906e-05, -4.11189e-05
-1.4875e-05, -4.213e-05
-1.48594e-05, -3.89281e-05
-1.48438e-05, -3.06707e-05
-1.48281e-05, -1.73576e-05
-1.48125e-05, 5.0556e-07
-1.47969e-05, 2.1402e-05
-1.47813e-05, 4.31411e-05
-1.47656e-05, 6.37006e-05
-1.475e-05, 8.07211e-05
-1.47344e-05, 9.2686e-05
-1.47188e-05, 9.89213e-05
-1.47031e-05, 0.000100101
-1.46875e-05, 9.6899e-05
-1.46719e-05, 9.08323e-05
-1.46563e-05, 8.25748e-05
-1.46406e-05, 7.28007e-05
-1.4625e-05, 6.13413e-05
-1.46094e-05, 4.80282e-05
-1.45938e-05, 3.26929e-05
-1.45781e-05, 1.56724e-05
-1.45625e-05, -2.02224e-06
-1.45469e-05, -1.92113e-05
-1.45313e-05, -3.47151e-05
-1.45156e-05, -4.68486e-05
-1.45e-05, -5.51061e-05
-1.44844e-05, -5.88135e-05
-1.44688e-05, -5.83079e-05
-1.44531e-05, -5.40949e-05
-1.44375e-05, -4.68486e-05
-1.44219e-05, -3.7917e-05
-1.44063e-05, -2.78058e-05
-1.43906e-05, -1.73576e-05
-1.4375e-05, -6.57228e-06
-1.43594e-05, 4.213e-06
-1.43438e-05, 1.53353e-05
-1.43281e-05, 2.64577e-05
-1.43125e-05, 3.77485e-05
-1.42969e-05, 4.81967e-05
-1.42813e-05, 5.71283e-05
-1.42656e-05, 6.37006e-05
-1.425e-05, 6.72395e-05
-1.42344e-05, 6.72395e-05
-1.42188e-05, 6.35321e-05
-1.42031e-05, 5.62857e-05
-1.41875e-05, 4.58375e-05
-1.41719e-05, 3.28614e-05
-1.41563e-05, 1.80316e-05
-1.41406e-05, 2.02224e-06
-1.4125e-05, -1.41557e-05
-1.41094e-05, -2.96595e-05
-1.40938e-05, -4.34782e-05
-1.40781e-05, -5.52746e-05
-1.40625e-05, -6.48802e-05
-1.40469e-05, -7.21266e-05
-1.40313e-05, -7.71822e-05
-1.40156e-05, -8.02156e-05
